Country;Month;Year;Purpose;Visitors;Date
Australia;1;2014;Holiday;47936;2014-01-01
Australia;1;2014;Visiting friends & relatives;46128;2014-01-01
Australia;1;2014;Business;8528;2014-01-01
Australia;1;2014;Education;448;2014-01-01
Australia;1;2014;Conferences & conventions;1504;2014-01-01
Australia;1;2013;Holiday;44336;2013-01-01
Australia;1;2013;Visiting friends & relatives;40720;2013-01-01
Australia;1;2013;Business;9072;2013-01-01
Australia;1;2013;Education;304;2013-01-01
Australia;1;2013;Conferences & conventions;1856;2013-01-01
Australia;11;2016;Holiday;42176;2016-11-01
Australia;11;2016;Visiting friends & relatives;40416;2016-11-01
Australia;11;2016;Business;19168;2016-11-01
Australia;11;2016;Education;672;2016-11-01
Australia;11;2016;Conferences & conventions;5328;2016-11-01
Australia;11;2015;Holiday;40864;2015-11-01
Australia;11;2015;Visiting friends & relatives;39408;2015-11-01
Australia;11;2015;Business;19536;2015-11-01
Australia;11;2015;Education;672;2015-11-01
Australia;11;2015;Conferences & conventions;5024;2015-11-01
Australia;11;2014;Holiday;37680;2014-11-01
Australia;11;2014;Visiting friends & relatives;39536;2014-11-01
Australia;11;2014;Business;16176;2014-11-01
Australia;11;2014;Education;640;2014-11-01
Australia;11;2014;Conferences & conventions;4320;2014-11-01
Australia;11;2013;Holiday;36976;2013-11-01
Australia;11;2013;Visiting friends & relatives;38464;2013-11-01
Australia;11;2013;Business;15088;2013-11-01
Australia;11;2013;Education;656;2013-11-01
Australia;11;2013;Conferences & conventions;4512;2013-11-01
Australia;12;2016;Holiday;76384;2016-12-01
Australia;12;2016;Visiting friends & relatives;97632;2016-12-01
Australia;12;2016;Business;10528;2016-12-01
Australia;12;2016;Education;368;2016-12-01
Australia;12;2016;Conferences & conventions;2192;2016-12-01
Australia;12;2015;Holiday;68752;2015-12-01
Australia;12;2015;Visiting friends & relatives;90448;2015-12-01
Australia;12;2015;Business;10720;2015-12-01
Australia;12;2015;Education;416;2015-12-01
Australia;12;2015;Conferences & conventions;1392;2015-12-01
Australia;12;2014;Holiday;62128;2014-12-01
Australia;12;2014;Visiting friends & relatives;87968;2014-12-01
Australia;12;2014;Business;10624;2014-12-01
Australia;12;2014;Education;368;2014-12-01
Australia;12;2014;Conferences & conventions;1648;2014-12-01
Australia;12;2013;Holiday;62464;2013-12-01
Australia;12;2013;Visiting friends & relatives;85888;2013-12-01
Australia;12;2013;Business;9840;2013-12-01
Australia;12;2013;Education;544;2013-12-01
Australia;12;2013;Conferences & conventions;1824;2013-12-01
